date|time|description|vendor|amount
2023-02-10|12:44:56|app subscription|Delta Partners|2993.72
2025-10-10|02:00:51|domain renewal|Tech Solutions|1856.92
2023-11-26|14:38:31|app subscription|Tech Solutions|-195.85
2024-11-09|05:02:56|internet bill|Best Buy|4021.18
2023-09-14|08:08:58|business lunch|PayPal|4130.84
2024-03-02|07:10:51|training seminar|Target|3634.64
2025-01-28|05:03:42|marketing expense|Adobe|-74.33
2025-02-20|17:57:12|printer ink|Walmart|-194.87
2023-10-11|18:49:49|software subscription|Home Depot|327.71
2023-08-09|09:44:43|laptop purchase|Joe Smith|1113.59
2024-09-19|06:02:24|website design invoice|Amazon|4576.93
2025-10-07|22:02:40|internet bill|BlueSky Consulting|3096.51
2023-06-24|15:50:20|business lunch|Apple|991.96
2025-01-10|10:49:32|business lunch|IKEA|337.97
2023-12-13|06:35:27|coffee supplies|Target|171.27
2024-04-27|09:52:13|laptop purchase|Home Depot|1749.46
2023-07-13|01:09:35|domain renewal|Best Buy|3632.96
2025-08-12|21:48:00|advertising campaign|Acme Corp|1504.57
2024-07-24|15:05:21|office supplies|Joe Smith|2461.37
2023-03-01|16:23:32|coffee supplies|Mark Thompson|3504.44
2024-12-03|23:29:41|equipment maintenance|Staples|-598.23
2024-08-25|11:22:07|training seminar|Amazon|572.55
2024-04-19|00:56:10|marketing expense|Amazon|-816.91
2025-05-07|09:51:43|equipment maintenance|BlueSky Consulting|1383.43
2023-06-20|17:12:30|consulting fee|Walmart|4450.14
2024-02-13|08:31:09|printer ink|Target|2283.23
2023-03-02|02:07:33|laptop purchase|Walmart|866.17
2024-06-20|01:51:24|consulting fee|Amazon|3886.11
2024-07-31|23:32:22|coffee supplies|Best Buy|1641.44
2023-07-22|16:25:16|software subscription|XYZ Ltd|4398.59
2023-04-02|13:53:10|advertising campaign|Apple|2190.24
2025-07-05|16:26:49|app subscription|Mark Thompson|711.71
2024-09-30|01:45:13|internet bill|Delta Partners|1909.71
2025-06-29|16:42:59|ergonomic chair|Adobe|161.14
2025-08-14|11:55:24|app subscription|Sarah Johnson|2174.79
2025-02-20|02:41:53|payment received|Target|4915.73
2024-04-30|04:56:20|internet bill|XYZ Ltd|3741.47
2025-08-24|13:34:31|domain renewal|Staples|-647.45
2023-09-24|03:07:07|domain renewal|Staples|-170.22
2024-04-29|16:58:19|advertising campaign|Spectrum|2805.79
2023-07-21|00:34:49|travel reimbursement|Sarah Johnson|1281.11
2025-02-06|09:46:02|marketing expense|Best Buy|2611.74
2023-10-30|00:09:38|advertising campaign|Tech Solutions|4923.77
2024-04-16|15:53:28|training seminar|Tech Solutions|4702.93
2025-06-16|05:09:26|ergonomic chair|Joe Smith|-971.84
2024-10-20|19:31:25|marketing expense|Joe Smith|1962.61
2023-04-17|08:54:27|training seminar|Amazon|586.06
2025-03-29|06:52:17|internet bill|Best Buy|144.16
2024-10-22|01:42:09|laptop purchase|Amazon|767.92
2023-02-05|06:47:19|project milestone payment|Best Buy|4431.89
2024-02-14|06:34:16|advertising campaign|Staples|4043.53
2023-04-20|11:14:05|domain renewal|Apple|2274.54
2024-09-21|22:07:58|coffee supplies|Best Buy|2245.17
2025-07-20|11:28:32|project milestone payment|BlueSky Consulting|4318.41
2024-06-26|13:09:55|app subscription|XYZ Ltd|2899.11
2023-06-07|23:20:14|project milestone payment|Best Buy|4360.89
2024-04-25|17:28:15|payment received|Tech Solutions|-323.26
2025-01-20|04:44:29|business lunch|Best Buy|2966.8
2023-09-20|15:31:27|office supplies|IKEA|2382.87
2023-08-30|01:01:35|domain renewal|Spectrum|3125.42
2023-12-05|05:50:06|domain renewal|Acme Corp|4470.78
2025-07-03|11:46:10|marketing expense|Spectrum|1811.65
2023-04-30|20:40:44|office supplies|Sunrise LLC|527.82
2025-04-23|22:55:41|website design invoice|Sarah Johnson|-344.2
2025-01-29|03:38:08|coffee supplies|Home Depot|3292.26
2025-07-05|14:20:01|ergonomic chair|BlueSky Consulting|2971.55
2025-06-20|17:49:05|advertising campaign|Adobe|3799.34
2023-02-03|10:12:22|payment received|Tech Solutions|1885.66
2023-11-22|19:57:34|consulting fee|Tech Solutions|321.48
2024-08-18|17:40:13|client payment|IKEA|4494.89
2023-06-27|04:38:08|advertising campaign|XYZ Ltd|4552.59
2025-02-05|16:32:16|project milestone payment|Spectrum|1028.41
2023-12-14|20:57:33|equipment maintenance|Walmart|2327.44
2023-02-08|19:15:05|client payment|Acme Corp|3413.48
2024-08-19|08:26:38|coffee supplies|Joe Smith|3126.33
2025-01-03|05:33:13|business lunch|Best Buy|78.87
2025-01-23|06:46:21|domain renewal|Acme Corp|2856.69
2024-12-06|05:48:07|consulting fee|Acme Corp|3909.27
2023-03-07|10:06:40|website design invoice|Tech Solutions|3240.16
2023-09-18|17:22:33|domain renewal|Walmart|1243.86
2024-06-05|20:56:24|project milestone payment|Adobe|3521.95
2024-07-09|21:54:10|advertising campaign|BlueSky Consulting|-667.67
2023-11-17|08:41:08|business lunch|IKEA|4545.78
2023-12-13|23:55:23|coffee supplies|Best Buy|3205.33
2025-09-30|04:45:12|laptop purchase|Walmart|4635.98
2023-10-12|08:45:38|client payment|Adobe|-476.08
2024-10-23|12:33:53|marketing expense|Home Depot|26.38
2023-06-10|15:21:09|business lunch|Target|1610.21
2023-08-09|19:55:05|ergonomic chair|Delta Partners|2646.98
2023-12-23|19:57:39|app subscription|XYZ Ltd|3715.72
2024-09-15|15:40:28|project milestone payment|Delta Partners|3511.97
2024-01-25|09:46:02|printer ink|Target|-540.76
2025-02-21|15:27:04|client payment|XYZ Ltd|-123.67
2023-01-31|15:39:51|advertising campaign|Joe Smith|1137.06
2025-04-26|14:23:10|client payment|Spectrum|4606.95
2025-04-24|20:32:56|internet bill|Mark Thompson|852.69
2025-10-07|14:59:31|office supplies|Target|-66.25
2024-03-03|02:35:54|travel reimbursement|Adobe|4067.95
2025-04-19|20:00:32|website design invoice|Adobe|4398.81
2024-09-14|23:43:36|ergonomic chair|Target|1651.45
2025-04-16|03:44:25|printer ink|Sarah Johnson|-141.39
2025-07-14|14:52:44|payment received|Sarah Johnson|3892.61
2023-05-07|02:44:00|advertising campaign|Adobe|4172.77
2023-07-10|11:29:35|travel reimbursement|Best Buy|1074.45
